Date de l'opØration,Date de valeur,DØtails de la transaction,DØbit,CrØdit,Solde (-)Indique un dØbit
25/09/2025,25/09/2025,Virement recus Banque Confrere RANAIVOSOA MAMYNIRINA LIANTSO FT25268TNFCB\BNK Angola,,"1 150 000,00","1 935 906,25"
25/09/2025,25/09/2025,Transfer Bank to Wallet MVOLA WALLET FT25268YZJNP\BNK Mvola Bank to Wallet,"50 000,00",,"1 885 906,25"
25/09/2025,25/09/2025,Transfer Bank to Wallet MVOLA WALLET FT25268JN7S6\BNK Mvola Bank to Wallet,"100 000,00",,"1 785 906,25"
25/09/2025,25/09/2025,Retrait sur GAB confrere 660940 FT252680HPGX\BNK BOAMGXB-GAB-01- EXT ANDR,"100 000,00",,"1 685 906,25"
26/09/2025,26/09/2025,Frais de virement FT2526940Q6P\BNK,"1 250,00",,"1 684 656,25"
26/09/2025,26/09/2025,TVA FT2526940Q6P\BNK,"250,00",,"1 684 406,25"
26/09/2025,26/09/2025,Transfer Bank to Wallet MVOLA WALLET FT2526940Q6P\BNK Mvola Bank to Wallet,"250 000,00",,"1 434 406,25"
29/09/2025,29/09/2025,DB vente carte etrangere 755740 FT252726VLFR\BNK CROUS RENNES,"566 804,90",,"867 601,35"
30/09/2025,01/10/2025,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250930,"2 000,00",,"865 601,35"
30/09/2025,01/10/2025,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250930,"10 000,00",,"855 601,35"
,,Solde Encours,,,"855 601,35"
